CombinedStreet	Suburb	State	PostCode	Country
30 Nagle Lane	Mosman Park	WA	6012	
35 Banksia Street	Joondana	WA	6060	
8 Tambulan Rd	Maida Vale	WA	6057	
62 Goldsmith Rd	Dalkeith	WA	6009	
205/597 Kalamunda Road	High Wycombe	WA	6057	
"Unit 254, 85 Hester Ave"	Merriwa	WA	6030	
62 Hobart St	North Perth	WA	6006	
2/154 Eaton Street	Joondanna	WA	6060	Australia
9 Rakoa Place	Cooloongup	WA	6168	
41 Probert Rd	Thornlie	WA	6108	
42 Nidjalla Loop	Swanbourne	WA	6010	
18 Wittenoom Rd	High Wycombe	WA	6057	
93 Barker Rd	Subiaco	WA	6008	
4/306 Grand Prom	Dianella	WA	6059	
24 Carmody Road	Waikiki	WA	6169	
70 Anzac Rd	Mount Hawthrorn	WA	6016	
11 Sutherland Drive	Mount Tarcoola	WA	6530	
22a Marathon Loop	Madeley	WA	6065	
8 Cherrytree Chase	Maddington	WA	6109	
41 Dixon Road	Kalamunda	WA	6076	
9 Cosson Way	Highwycome	WA	6057	
278 Nicholson Rd	Subiaco	WA	6008	
49 Darch Street	Yokine	WA	6060	
4 Narang Gardens	Maddington	WA	6109	
6 Babbler Court	Maida Vale	WA	6057	
30 King Drive	Woodridge	WA	6025	
1499 adelaide street	high wycombe	WA	6057	
Unit 115/334 Cambrigde Street	Wembley	WA	6014	
2 Kunzite Court	Forrestfield	WA	6058	
1 Aspen Crt	Cooloongup	WA	6168	
19 Tangaroa Close	Cooloongup	WA	6168	
31/8 Garnsworthy Pl	Bassendean	WA	6054	
5 Gayhurst Rd	Kenwick	WA	6109	
15/7 Winifred Rd	Bayswater	WA	6053	
3/11 Preece Court	Forrestfield	WA	6058	
41 Launceston Avenue	City  Beach	WA	6015	
PO 371	high wycombe	WA	6057	Australia
26/6 Sheoak Rd	Maddington	WA	6109	
24 Anzac Rd	Mount Hawthorn	WA	6016	
29 Bellew Way	Noranda	WA	6062	
13 Troy Ave	Marmion	WA	6020	
13 Clipperton Ct	Wakiki	WA	6169	
8 Bryne Place	Leeming	WA	6149	
27/20-28 Robinson Ave	Perth	WA	6000	
41 Violet Grove	Shenton Park	WA	6008	
488 High Rd	Lynwood	WA	6148	
46 Shearwater Dr	Stirling	WA	6021	
9 Nandat Rd	Forrestfield	WA	6058	
92 Westfield Road	Kelmscott	WA	6111	
6 Tide Way	Singleton	WA	6175	
51 Pennant St	North Perth	WA	6006	
2 Keightley Road East	Shenton Park	WA	6008	
Unit 3/19 Kensington Ave	Dianella	WA	6059	
10 Tehani Close	Cooloongup	WA	6168	
136 Dellar Road	Maddington	WA	6109	
2 Karrinyup Rd	Trigg	WA	6029	
5 Briar Place	Ferndale	WA	6148	
67 Minora Rd	Dalkeith	WA	6010	
8 Genoa Pl	Secret Harbour	WA	6173	
1 Coachwood Way	Maddington	WA	6109	
9 Jindarra Close	Cooloongup	WA	6168	
8c Bonnievale St	Mt Hawthorn	WA	6016	
9e/16 King Park Ave	Crawley	WA	6009	
30/130 Edinboro Street	Joondanna	WA	6060	
P O Box 43	Nabawa	WA	6530	
10 Hamersly Road	Subiaco	WA	6008	
34 Letsom Way	Langford	WA	6147	
142b Birkett St	Bedford	WA	6052	
15a falkirk crt	kinross	WA	6028	
4/41 Sackville Tce	Scarborough	WA	6019	
34 Myerson Cresecent	Maida Vale	WA	6057	
3 Fitzroy Close	Cooloongup	WA	6168	
1a Kempenfeldt Ave	Sorrento	WA	6020	
1031 wanneroo rd	wanneroo	WA	6065	
10 Madiera Road	Parkwood	WA	6147	
79 Drummond Circuit	Cervantes	WA	6511	
67 Aldington St	Maddington	WA	6109	
10 Ashford Road	high wycombe	WA	6057	
8 Calani Place	Cooloongup	WA	6168	
9 Brae Crt	Cooloongup	WA	6168	
302 Northbeach Road	Karranup	WA	6018	
7a Park Lane	Claremont	WA	6010	
2a Chappel Street	Dianella	WA	6059	
52 Kingsway	Nedlands	WA	6009	
20 Jasmin Ave	Subiaco	WA	6008	
u1/12 Brabham St	Gosnells	WA	6109	
76 Cuthbertson Drive	Cooloongup	WA	6168	
96 James Spiers Drive	Wanneroo	WA	6065	
3 Denbigh Way	Butler	WA	6036	
47 Russell Rd	Madeley	WA	6065	
82 Lennox Circuit	Pottsville	NSW	2489	
1/454 Lennard Street	Dianella	WA	6059	
17a Parker Ave	Sorrento	WA	6020	
1/40 Churchill Ave	Subiaco	WA	6008	
118 Wilmott Drive	Cooloongup	WA	6168	
80 Goongarre Drive	Waikiki	WA	6168	
21 crisafulli avenue	wanneroo	WA	6065	
53 Mahonia Way	Forrestfield	WA	6058	
148/597 Kalamunda Road	High Wycombe	WA	6057	Australia
59b Valentine Ave	Dianella	WA	6059	
102 alcock street	Maddington	WA	6109	
12 Bowden Street	high Wycombe	WA	6057	
31 Honey Street	Mariginiup	WA	6078	
14 Second Ave	Claremont	WA	6010	
99/76 ridgewood blvd	ridgewood	WA	6030	
9  Halston Ave	City Beach	WA	6015	
11 Huggins Way	Baldivis	WA	6171	
19 thompson drive	Wanneroo	WA	6065	
7 Linville Ave	Cooloongup	WA	6168	
2 / 18 Benjamin St	Armadale	WA	6112	
27 Edenhall Terrace	Waikiki	WA	6169	
7 Snowflake Approach	Baldivis	WA	6171	
533 Charles St	North Perth	WA	6006	
212/45 Malcolm St	West Perth	WA	6005	
523/55 Belgrade Rd	Wanneroo	WA	6065	
8 Conifer St	Maddington	WA	6109	
603/55 belgrade rd	wanneroo	WA	6065	
58b Marloo Rd	Westminster	WA	6061	
3/19 Axford St	Como	WA	6152	
21 Glenten Way	Ferndale	WA	6148	
12a Barr St	Dianella	WA	6059	
9 Silvery Wave Vista	Wandina	WA	6530	
3 Astromux Court	Banksia Grove	WA	6031	
304/55 belgrade rd	wanneroo	WA	6065	
63 Albacore Dr	Sorrento	WA	6020	
37 Colombus Blvd	Wandina	WA	6530	
87 Northwood St	West Leederville	WA	6007	
21 Howes Cresent	Dianella	WA	6059	
92 summer hill Drive	Port Sorell	TAS	7307	
171 Vellgrove Ave	Parkwood	WA	6147	
607 - 2 Bovell Lane	Claremont	WA	6010	
27a Airlie St	Claremont	WA	6010	
515/55 bilgrade rd	wanneroo	WA	6065	
5/1140 Wanneroo Road	Ashby	VIC	6065	
41 Link Way	Cooloongup	WA	6168	
4 Baycliffe Turn	Waikiki	WA	6169	
8/39 Hillwood Ave	Warwick	WA	6026	
5 Auburn Cl	Marangaroo	WA	6064	
254 Corinthian Road	Riverton	WA	6148	
3/164 Hay ST	East Perth	WA	6004	
16 Belrose Cres	Cooloongup	WA	6168	
69a Leeds Street	Dianella	WA	6059	
4 Biara Gardens	Mt Claremont	WA	6010	
3 Bribie Place	Warnbro	WA	6168	
26 Glenwood Pl	Woodridge	WA	6041	
42b Sydney St	Mount Tarcoola	WA	6530	
17 Rudwick Street	Mosman Park	WA	6012	
4 Thomas View	Clarkson	WA	6030	
52 feakle bend	ridgewood	WA	6030	
26 St Vincents Ave	Wembley	WA	6014	
335 Maddington Rd	Orange Grove	WA	6109	
34 Kingsland Ave	City Beach	WA	6015	
103 Stephen Street	Northampton	WA	6535	
55 Loch Street	Claremont	WA	6010	
62a Balcomb Way	Westminster	WA	6061	
2055 Stoneville Road	Stoneville	WA	6081	
34 hartford ramble	Currambine	WA	6028	
9 Kirin Way	Maddington	WA	6109	
11 Chruditch	Brookdale	WA	6112	
Po Box 4981	Baldivis	WA	6170	
14 Doyle Street	Mosan Park	WA	6012	
132 Runnymede Gate	Wellard	WA	6167	
6 St Clair Place	Cooloongup	WA	6168	
97 Weston Street	Maddington	WA	6109	
186 Nicholson Rd	Langford	WA	6148	
11 Winfield St	Lynwood	WA	6147	
38 Timberlane Loop	Cooloongup	WA	6168	
40 Dorney Esp	Champion Lakes	WA	6111	
4/365a Hector St	Yokine	WA	6060	
5 Killirney	Coolongup	WA	6168	
30 Mataitai Loop	Cooloongup	WA	6168	
81 hAMERSLEY RD	SUBIACO	WA	6008	
Po Box 99	Bassendean	WA	6984	
5 Foret Gdns	Hillarys	WA	6025	
13 Jillman Way	Ferndale	WA	6148	
14 Quarkum Street	Wanneroo	WA	6065	
3 Kapok Ct	Parkwood	WA	6147	
4 Fortescue Rd	Cooloongup	WA	6168	
1 St Johns Wood Bvd	Mount Claremont	WA	6010	
15 Dongala Way	Ferndale	WA	6148	
48A CONNOLLY ST	WEMBLEY	VIC	6014	
17 Hodgson Street	Tuart Hill	WA	6060	
206/25 4th Ave	Mount Lawley	WA	6052	
23 Sheffield Pl	Hillarys	WA	6068	
13/2234 de avenue	nedllands	WA	6008	
7 Breeze Ct	Sorrento	WA	6020	
11 Cocos Court	Warnbro	WA	6169	
50 myrtle avenue	sorrento	WA	6020	
5 Calne Place	Maddington	WA	6109	
35 Blancoa Rd	Ferndale	WA	6148	
12 Seahorse Loop	Port Denison	WA	6525	
96 Victoria Road	Kenwick	WA	6107	
21 Woodlands Gr	Hocking	WA	6065	
36 Owston Street	Mosman Park	WA	6012	
25 Martin Street	Kelmscott	WA	6111	
Scott Road	Geraldton	WA	6530	
21 Hustler Street	Dianella	WA	6059	
16 Peter Road	high wycombe	WA	6057	
72 Marshall Rd	High Wycombe	WA	6057	
20 Daly Circle	Lanford	WA	6147	
27 Sunningdale Circle	Rockingham	WA	6168	
7 benevis turn	kinross	WA	6030	
25 Frost St	Swan View	WA	6056	
232b/76 Ridgewood Bvd	Ridgewood	WA	6030	
20 Bayview Tce	Claremont	WA	6010	
83c Tyler Street	Joondanna	WA	6060	
25 Sheoak Rd	Maddington	WA	6109	
2a Beverley Street	Morley	WA	6062	
U4/28 Wittenoom Rd	High Wycombe	WA	6057	
15 Laggan Rd	Canning Vale	WA	6155	
8a Easbourne Street	Lynwood	WA	6147	
no address	clarkson	WA	6030	
23 Caldera Close	Mindarie	WA	6030	
169/85 Hester Ave	Merriwa	WA	6030	
5 Judges Gardens	Leda	WA	6170	
233a Stock Road	Palmyra	WA	6167	
1/5 Fitzroy Close	Cooloongup	WA	6168	
5 The Promenade	Wattle Grove	WA	6107	Australia
11 Betty St	Nedlands	WA	6009	
31 Puttenham St	Morley	VIC	6062	
158 Scenic Dr	Wanneroo	WA	6065	
133 Nicholson Road	Lynwood	WA	6147	
1/432 Beaufort St	Highgate	WA	6003	
19 Gordon Street	Maddington	VIC	6109	
53 Wardell Loop	Dudley Park	WA	6210	
14 Parkfarm Drive	South Guildford	WA	6055	
30 Ashford Street	Maddington	WA	6109	
39b Part St	Como	WA	6000	
8 Kingallon Crt	Rockingham	WA	6168	
4/25 Arenga Crt	Mt Claremont	WA	6010	
23  23  Railway Pde	Subiaco	WA	6008	
14 Wilfred Crt	Thornlie	WA	6108	
3 Ikara Road	City Beach	WA	6010	
26 Sevenington St	Maddington	WA	6109	
65 Willespie Drive	Pearsall	WA	6065	
26 Woodvale Drive	Woodvale	WA	6065	
9 Cavendish Way	Parkwood	WA	6147	
151 Westfield St	Maddington	WA	6109	
4/260 West Coast Highway	Scarborough	WA	6019	
79 Cyril Road	High Wycomb	WA	6057	
28 Paltara way	Wanneroo	WA	6065	
225 woodside st	doubleview	WA	6018	
10 Rakoa Place	Cooloongup	WA	6168	
73 Aylesford Dr	Marangaroo	WA	6064	
36 Monavale Loop	Ellenbrook	WA	6065	
2 Quenda Cl	High Wycombe	WA	6057	
9 Nottingham Green	Highwycomb	WA	6057	
33a Montreal St	Fremantle	WA	6160	
306/173 Mount Bay Rd	Perth	WA	6000	
12 Mcclelland Street	Ferndale	WA	6148	
3/58 Kings Park Rd	West Perth	WA	6005	
Po Box	Scarborough	WA	6019	
16a Banfield Grove	Clarkson	WA	6036	
14/ 2 James St	Shenton Park	WA	6008	
20 Fuller St	Bluff Point	WA	6530	
47 Haldane St	Mt Claremont	WA	6010	
6 Brownrigg St	Singleton	WA	6175	
19 Portabello Bend	Alkimos	WA	6038	
5 Kings Rd	Subiaco	WA	6008	
88 Clyde Ave	Baldivis	WA	6171	
89 Wonambi Way	Wanneroo	WA	6065	
12 Hampden Road	Crawley	WA	6004	
16 Parella Crt	Bennett Springs	WA	6063	
32 Myaree Way	Duncraig	WA	6023	
11 Newport Way	Lynwood	WA	6147	
18 Villiers	Yokine	WA	6054	
27 Liechardt Loop	Rockingham	WA	6168	
13 Symms Ct	High Wycombe	WA	6057	
214/18 Atkinson Rd	Subiaco	WA	6008	
3/8 Covent Gardens	Stirling	VIC	6021	
3 Bone Street	Shenton Park	WA	6008	
55 Virginia Pl	Waikiki	WA	6210	
1 Fisher Cove	Mount Tarcoola	WA	6530	
18 Brendan Way	Lynwood	WA	6147	
Unit 130 45winnetta Ridge	Wandina	WA	6530	
87 Coghlan Rd	Subiaco	WA	6008	
40 Carmignani Rd	Gnaangara	WA	6077	
16 Lightfoot Place	Cooloongup	WA	6168	
1/39 Second Avenue	Claremont	WA	6010	
12 Falcon Ct	High Wycombe	WA	6057	
6 Cortis Way	Langford	WA	6147	
37 Bertram Street	Maddington	WA	6109	
63/7 Harman Road	Sorrento	WA	6020	
222/597 Kalamunda Rd	High Wycombe	WA	6057	
4 Frigate Close	Waikiki	WA	6169	
18 beefwood st	banksia	WA	6031	
39a  Wellington Street	Mosman Park	WA	6012	
Unit 7/ 59 Mount St	West Perth	WA	6005	
53 Sulman Rd	Wembley Downs	WA	6019	
17 Lisle St	Mt Claremont	WA	6008	
63/1 Freeman Loop	North Fremantle	WA	6159	
10 Stroke Renton Way	Bertram	WA	6167	
9/39 Kirkpatrick Cres	Noranda	WA	6062	
98 Camboon Road	Noranda	WA	6062	
152 scenic drive	wanneroo	WA	6065	
51 O'Halloran Lane	Mosman Park	WA	6012	
3 Norbury Way	Langford	WA	6147	
10 Camsell Way	Ferndale	WA	6148	
Tribe Hotel	Perth	WA	6000	
21 Lowen Place	Stirling	WA	6021	
223 shady hills view	bullsbrook	WA	6084	
50/155 Adelaide Tce	East Perth	WA	6004	
41 Fleetwood Rd	Lynwood	WA	6147	
108 Jones St	Balcatta	WA	6021	
31 Holling St	Maddington	WA	6109	
26a Victoria Way	Osbourne Paark	WA	6017	
17 Lisle Street	Mount Claremont	WA	6010	
199 A Duke Street	Scarborough	WA	6019	
26 Timberlane Loop	Cooloongup	WA	6168	
26 richards rd	high wycombe	WA	6057	
18 glenfield road	kinsley	WA	6026	
3/42 John St	N Fremantel	WA	6159	
5/78 Wanneroo Road	Yokine	WA	6060	
unit 8 18 oligantha elbow	banksia grove	WA	6031	
30 Wooramel Way	Cooloongup	WA	6168	
4 / 140 Tyler St	Tuart Hill	WA	6060	
22 Braemer Street	Rockingham	WA	6168	
34 quintillian rd	claremont	WA	6010	
514/55 belgrade road	wanneroo	WA	6065	
1	1	WA	6000	
10 glenorchy brce	wanneroo	WA	6065	
605 Glen Forest Dve	Glen Forest	WA	6071	
3 Markaling Close	Hillman	WA	6168	
35 Wade Street	Perth	WA	6000	
44 Gascoyne Way	Cooloongup	WA	6168	
24 Arawatta Loop	Madora Bay	WA	6210	
27b Antrim St	West Leederville	WA	60070	
23 Galverston Loop	Iluka	WA	6028	
40 Exhibition Way	Cooloongup	WA	6168	
Po Box 68	Nedlands	WA	6010	
48 Colville Street	Waikiki	WA	6169	
19A Mangini St	Morley	WA	6062	
14 Acacia Way	Duncraig	WA	6020	
6 Laurence Ave	West Perth	WA	6005	
23 Brand Road	Highwycombe	WA	6057	
3 Maplewood Place	Cooloongup	WA	6168	
2/23 Floresta st	Sinagra	WA	6065	
86 Ida Street	Eden Hill	WA	6054	
5/19 Airlie St	Claremont	VIC	6010	
69a Whitfield St	Bassendean	WA	6054	
125/1140 wanneroo rd	ashby	WA	6065	
10 Seymour Street	Tarleton	WA	7310	
28 Annean Loop	Cooloongup	WA	6168	
38 Leawena St	Mt Claremont	WA	6010	
5 Spinebill Rest	Beeliar	WA	6164	
26/ 200 Rokeby Rd	Subiaco	WA	6008	
Unite 12 53 Thompson Road	North Fremantle	WA	6159	
23 Kirkdale Turn	Kinross	WA	6028	
18 Tulley Rd	East Perth	WA	6004	
1 Gold Court	Maddington	WA	6109	
68 walyunga blvd	Clarkson	WA	6030	
2 Hopkins Place	Waikiki	WA	6169	
4/19 Emery St	Claremont	WA	6010	Australia
8 Teak Way	Maddington	WA	6148	
po box 1335	Wangara dc	WA	6047	
1 mudalla place	wanneroo	WA	6025	
7 Platte Crt	Gosnells	WA	6110	
18 Barossa Approach	Rockingham	WA	6168	
193 Morgan Rd	Donnybrook	WA	6239	
22 Rothbury Rd	Embleton	WA	6062	
25/42 Teerace Road	East Perth	WA	6004	
88 Waterfront Pkwy	Shoalwater	WA	6169	
132 Newburn Rd	High Wycombe	WA	6057	
587 Manear Road	Rosebrook	WA	6285	
38 Morris Drive	Forrestfield	WA	6057	
12 Finch Ct	High Wycombe	WA	6057	
44 Seaspray Cresent	Jindalee	WA	6036	
3/57 Kariong Circuit	Duncraig	WA	60203	
10 Mustang Crt	High Wycombe	WA	6057	
"Unit 226, 76 Ridgewood Blvd"	Ridgewood	WA	6030	
16 Capitol Turn	Clarkson	WA	6030	
16 Rothesay Ct	Coolongup	WA	6168	
30 Dalecross Ave	Madeley	WA	6065	
18achiswiuck St	`Wembley Downs	WA	6019	
71 Pearl Rd	Cloverdale	WA	6105	
2 Tasca Place	Duncraig	WA	6023	
15 Baystone Rd	Baldivis	WA	6171	
14 Chislehurst Road	Hampton	WA	3188	
17 Hopkins Place	Waikiki	WA	6169	
120 Glengarry Dve	Duncraig	WA	6023	
191 Heytesbury Rd	Subiaco	WA	6008	
7 Courtlea Cl	Ferndale	WA	6148	
45 Worrell Avenue	High Wycombe	WA	6057	
79 Second Ave	Claremont	WA	6010	
Xxx Xxx	Xxxx Xxxx	WA	6010	
7/16 Inverness Crt	Cooloongup	WA	6168	
Britomart Grove	Stratton	WA	6056	
Unit 39 7 Davies Rd	Claremont	WA	6010	
4 Martelli Pl	Stirling	WA	6021	
66 Monument Street	Mosman Park	WA	6012	
10 Peron Close	Cooloongup	WA	6168	
63 Eaton st	North Pertrh	WA	6006	
85 Rosewood Ave	Woodlands	WA	6018	
132 Bournebrook Avenue	Karnup	WA	6122	
89 Carisbrooke St	Maddington	WA	6109	
13 Hume Rd	High Wycombe	WA	6057	
42 St Andrews Loop	Cooloongup	WA	6168	
16 Pontoon Way	Alkimos	WA	6038	
16 Kundylo Court	Kelmscott	WA	6111	
71 Motivation Drive	Wangara	WA	6065	
52 Chesterton Rd	Bassendean	WA	6054	
9 Luccombe Way	Karrinyup	WA	6018	
Po Box 2269	High Wycombe	WA	6057	
160 Maida Vale Road	High Wycombe	WA	6057	
Port Havern Camp	South Hedland	WA	6722	
1 Rothesay Court	Cooloongup	WA	6168	
190 Nicholson Road	Subiaco	WA	6008	
25 Renner Circle	Wanneroo	WA	6065	
6 Wiluna Ave	Whitegum Valley	WA	6162	
12 Mercury St	Carlisle	WA	6101	
17 Crossway St	Swan View	WA	6056	
23 Gosse Avenue	Glenelg North	QLD	5045	
15 Fitzroy Close	Cooloongup	WA	6169	
61a Sussex Road	Forrestfield	WA	6058	
68/22 Windelya Davy	Murdoch	WA	6150	Australia
18 Venn St	North Perth	WA	6006	
7 Watersun Gdns	Jindalee	WA	6036	
Unit 1/63 Woodbridge Drive	Cooloongup	WA	6168	
2 Oceanrunner Bvd	Shoalwater	WA	6169	
18 Welby Crescent	Hitfhwycombe	WA	6057	
61 Harvey St	Mosman Park	WA	6012	
2 Arrow Way	Cooloongup	WA	6168	
27 Norring St	Cooloongup	WA	6168	
1/25 Sunningdale Circle	Cooloongup	WA	6168	
12 Casella Ave	Landsdale	WA	6065	
15/7 Nineth Ave	Maylands	WA	6051	
1 / 2542 Albany Hwy	Gosnells	WA	6110	
15 Sapling Way	Hocking	WA	6065	
22 Haslam St	Muchea	WA	6030	
67 Keslake Way	Parkwood	WA	6147	
10 Eckford Way	Duncraig	WA	6023	
7 quenda close	high wycombe	WA	6057	
24 Turnbry Dr	Jandakot	WA	6164	
2 Sellenger Crt	City Beach	WA	6015	
Po Box 144	West Perth	WA	6872	
25 Marmot Way	Ferndale	WA	6148	
2/56-58 Mount St	West Perth	WA	6008	
64 Pavetta Cres	Forrestfield	WA	6058	
7 powis court	langford	WA	6147	
13 Miller Street	Maddington	WA	6109	
8 Bonsall Dr	Ellenbrook	WA	6069	
35 Clamel Rd	Floreat	WA	6014	
54 Willmott Drive	Cooloongup	WA	6168	
6 Hobart Place	Willetton	WA	6155	
51 Kiln Road	Carabooda	WA	6033	
7 Cassano Place	Clarskon	WA	6030	
47 Myerson Cres	Maida Vale	WA	6057	
1/22 Wittenoom Rd	High Wycombe	WA	6057	
19 Oleander St	Maddington	WA	6109	
103 Blencowe Road	Geraldton	WA	6537	
39 Carmic Way	Ferndale	WA	6147	
26b Narla Way	Nollamara	WA	6061	
24 Sierra Key	Mindarie	WA	6036	
86 Clarkson Ave	Tapping	WA	6065	
3/69 Murray Street	Perth	WA	6000	
5 Alcock St	Maddington	WA	6109	
1 Norwich Road	Canningvale	WA	6155	
13 Upwood Circle	High Wycombe	WA	6057	
1 Wren Ct	Highwycombe	WA	6057	
11c parker street	east fremantle	WA	6158	
12 mega st	wanneroo	WA	6065	
40 Gaudi Wy	Clarkson	WA	6030	
31 Eakin S Cresent	Wandina	WA	6530	
3 Topeka Place	Wanneroo	WA	6065	
38 Portree Way	Duncraig	WA	6023	
Drake Street	Morley	WA	6062	
4/2 Lobelia Street	Mount Claremont	WA	6010	
Unit 6 1 Wendouree Road	Wilson	WA	6107	
PO Box 2034	Churchlands	WA	6018	
24 Stead Street	Maddington	WA	6109	
10b Winship Ave	Wanneroo	WA	6065	
Unit 193/12 Wall Street	Maylands	WA	6051	
43 101 Murray Street	Perth	WA	6000	
3/216 Barker	Subiaco	VIC	6008	
500 Hay St	Perth	WA	6000	
14 Barmond Road	Cannington	WA	6107	
129 Woodbridger Drive	Cooloongup	WA	6168	
38 Sulman Ave	Salter Point	WA	6.1526E+22	
10 Eucla Court	North Freo	WA	6159	
19 Almond Tree Lane	Maida Vale	WA	6057	
178 Cobb Street	Doubleview	WA	6018	
53 Civic Dr	Wanneroo	WA	6065	
5/315 Bulwer St	Perth	WA	6000	
2590 Toodyay Road	Gidgegannup	WA	6083	
5 Whyalla Lane	Wanneroo	WA	6065	
1/25 Kimbara St	Nollamara	WA	6061	
22 The Terrace	Mindarie	WA	6025	
10 Smith Crs	High Wycombe	WA	6057	
70 Mataitai Loop	Cooloongup	WA	6168	
89 Cobblers	Falcon	WA	6210	
39 Man Street	Cottesloe	WA	6011	
152 Hubert Street	East Victoria Park	WA	6101	
5a Newcomen Rd	Stirling	WA	6021	
11 Pingrup Court	Waikiki	WA	6169	
16 Light Street Shoalwater	Shoalwater	WA	6168	
Unit 26/20 Redmile Road	York	WA	6302	
12 Killagen Crt	Gosnells	WA	6110	
56 Salisbury St	Subiaco	WA	6008	
3c Mandiena Ave	Mt Claremont	WA	6010	
Po Box 353	Hillarys	WA	6927	
27 Cross St	Swanbourne	WA	6009	
32 Hollett Road	Morley	WA	6062	
2 fleet circle	high wycombe	WA	6057	
27 Kathleen St	Yokine	WA	6060	
43/11 Leighton Beach Blvd	Leighton Beach	WA	6159	
Inpex	Perth	WA	6000	
4 Michael Ct	Highwycombe	WA	6057	
20 Littlefield Rd	High Wycombe	WA	6057	
7/33 Matuka Mews	Maida Vale	WA	6057	
"Unit 10, 6 Tighe Street"	Jolimont	WA	6008	
20 Marlow St	Wembley	WA	6014	
6/233 Adelaide Tce	Perth	WA	6000	
1 onyx court	high wycombe	WA	6057	
3/7 Harman Road	Sorrento	WA	6020	
47 Salerno Ave	Stirling	WA	6021	
6/2 Bindaring Pde	Claremont	WA	6010	
62 Girlia Parkway	Ballajura	WA	6066	
4 21 robertson st	subiaco	WA	6000	
4 Vinka Way	Forrestfield	WA	6058	
1/228 Hampden Rd	Crawley	WA	6009	
2 Thurston Street	Mt Lawly	WA	6050	
64 Watling Ave	Lynwood	WA	6148	
8 Upton St	St James	WA	6102	
25 Henniken Way	Konndoula	WA	6064	
18 Woodley Way	Parmelia	WA	6167	
7 Setus Court	Rockingham	WA	6168	
42 Cuthbertson Dr	Cooloongup	WA	6168	
203 Wungong Rd	Brookdale	WA	6112	
8 Stockholm Rd	Wanneroo	WA	6065	
42 Noel Road	Gooseberry Hill	WA	6076	
25 Bridgeway Ave	Ferndale	WA	6148	
14 Nyaania Court	Glenn Forrest	WA	6071	
26 St Leonnards Street	Mosman Park	WA	6012	
41 Adelaide St	Milpara	WA	6330	
Po Box 37	Walkaway	WA	6530	
63 Mowbray Cres	Clarkson	WA	6030	
7 Plover Road	High Wycombe	WA	6057	
5a Shann St	Floreat	WA	6014	
40 Deller Dr	Biibra Lake	WA	6163	
10 Connaught Street	Forrestfield	WA	6058	
368c Hector Street	Yokine	WA	6060	
7 Longroyd St	Mount Lawley	WA	6050	
7 Beam Court	Morely	WA	6062	
10/59 Brewert St	Perth	WA	6000	
271 Oxford Street	Leederville	WA	6007	
14a Bayview Street	Rockingham	WA	6168	
14 Mew Way	Subiaco	WA	6008	
27 Craven Street	Bedford	WA	6052	
14 Mackay Place	Cooloongup	WA	6168	
13 Tiverton St	Lynwood	WA	6147	
36 Elmore Way	High Wycombe	WA	6057	
2/1 Whatley Crescent	Bayswater	WA	6053	
7 Baille Avenue	East Victoria Park	WA	6101	
31 webster st	nedlands	WA	6009	
302 Holmes Road	Forrestfield	WA	6058	
66/601 Wellington St	Perth	WA	6000	
21 Collins Street	Kensington	WA	6151	
9 Cook Rise	Geraldton	WA	6530	
60000	60000	WA	60000	
Unit 2d 811 Hay Street	Perth	WA	6000	
Po Box 827	Dunsbourough	WA	6281	
8 York Terrace	Mosman Park	WA	6012	
67 Limetree Cct	Mindarie	WA	6030	
5 Moffatt Place	Tarcoola Beach	WA	6530	
44 Agincourt Drive	Forrestfield	WA	6058	
16a Fitzgerald Road	Morley	WA	6062	
15 Vaucluse Ave	Claremont	WA	6010	
3/79 Baden Street	Joondanna	WA	6060	
30 Lynwood Ave	Lynwood	WA	6147	
10 Glencairn Way	Parkwood	WA	6147	
59 Millbrook Ave	Bertram	WA	6167	
16 banfield rd	clarkson	WA	6030	
99/76 Ridgewood Boulev	Ridgewood	WA	6030	
Unit 62/1 Wingfield Avenue	Crawley	WA	6009	
8 Barcroft Court	Atwell	WA	6164	
6/129	Barker Rd	WA	6009	
2 Hodge Court	Marmion	WA	6020	
28 Roberts St	Moora	WA	6510	
31 Seville Road	Forrestfield	WA	6058	
19a Ronex Elbow	Merriwa	WA	6036	
11A Tareena Street	Needlands	WA	6009	
9/43 Waterloo St	Joondanna	WA	6060	
10a Gill St	Morley	WA	6062	
184 Sailsbury St	Bedford	WA	6052	
14 Doncon Street	Wandina	VIC	6530	
15/21 Hayes Avenue	Yokine	WA	6060	
45 Larwood Crescent	High Wycombe	WA	6057	
3 Kishorn Rd	Apple Cross	WA	6153	
9 Murray Street	Bayswater	WA	6053	
150/7 Harman Road	Sorrento	WA	6020	
20 Pembury Way	Butler	WA	6036	
26 weld st	nedlands	WA	6009	
20 Rowell Gardens	High Wycombe	WA	6057	
3 Milmoe Lane	Maylands	WA	6051	
3 Gascoyne Way	Cooloongup	WA	6168	
224 Rutland Avenue	Carlisle	WA	6101	
Unit 5/2 Lirebird Road	Thornlie	WA	6108	
3/80 Dowitcher Loop	Gosnells	WA	6110	
6 Porteous Road	Sorrento	WA	6020	
47 Avon Tce	York	WA	6302	
11 Carradale Glen	Hillarys	WA	6025	
11/109 Broadway	Nedlands	WA	6009	
10 Forden Street	Mt Tarcoola	WA	6530	
5 Durrant Way	High Wycombe	WA	6057	
324 Bagot Road	Subiaco	WA	6008	
13/5 Park Avenue	Crawley	WA	6008	
